iter	Passed	Remaining
828	1218	251
829	1219	249
830	1221	248
831	1223	246
832	1225	245
833	1227	244
834	1228	242
835	1230	241
836	1231	239
837	1232	238
838	1234	236
839	1235	235
840	1236	233
841	1238	232
842	1239	230
843	1241	229
844	1242	227
845	1243	226
846	1245	224
847	1246	223
848	1247	221
849	1249	220
850	1251	219
851	1252	217
852	1253	216
853	1255	214
854	1256	213
855	1257	211
856	1259	210
857	1260	208
858	1261	207
859	1263	205
860	1264	204
861	1265	202
862	1267	201
863	1268	199
864	1269	198
865	1270	196
866	1272	195
867	1273	193
868	1274	192
869	1276	190
870	1277	189
871	1278	187
872	1281	186
873	1282	184
874	1284	183
875	1285	182
876	1287	180
877	1288	179
878	1289	177
879	1291	176
880	1292	174
881	1294	173
882	1295	171
883	1297	170
884	1298	168
885	1300	167
886	1301	165
887	1303	164
888	1304	162
889	1306	161
890	1307	159
891	1308	158
892	1310	156
893	1311	155
894	1313	154
895	1314	152
896	1315	151
897	1317	149
898	1318	148
899	1320	146
900	1323	145
901	1326	144
902	1330	142
903	1333	141
904	1336	140
905	1339	138
906	1341	137
907	1343	136
908	1345	134
909	1346	133
910	1348	131
911	1350	130
912	1351	128
913	1353	127
914	1354	125
915	1356	124
916	1357	122
917	1359	121
918	1360	119
919	1362	118
920	1364	117
921	1365	115
922	1367	114
923	1368	112
924	1369	111
925	1371	109
926	1373	108
927	1375	106
928	1376	105
929	1378	103
930	1379	102
931	1380	100
932	1382	99
933	1383	97
934	1385	96
935	1386	94
936	1388	93
937	1389	91
938	1391	90
939	1392	88
940	1393	87
941	1395	85
942	1397	84
943	1398	82
944	1400	81
945	1402	80
946	1404	78
947	1405	77
948	1407	75
949	1408	74
950	1409	72
951	1411	71
952	1412	69
953	1413	68
954	1414	66
955	1416	65
956	1418	63
957	1419	62
958	1421	60
959	1422	59
960	1423	57
961	1425	56
962	1426	54
963	1427	53
964	1429	51
965	1430	50
966	1432	48
967	1433	47
968	1434	45
969	1435	44
970	1437	42
971	1438	41
972	1439	39
973	1441	38
974	1442	36
975	1443	35
976	1444	34
977	1446	32
978	1447	31
979	1448	29
980	1450	28
981	1451	26
982	1452	25
983	1453	23
984	1455	22
985	1456	20
986	1457	19
987	1459	17
988	1460	16
989	1462	14
990	1463	13
991	1465	11
992	1466	10
993	1468	8
994	1469	7
995	1471	5
996	1472	4
997	1473	2
998	1475	1
999	1476	0
